city,pop,income_id,transporation_distance_disposal_site,transportation_distance_total_km_year
Kabul,3700000,LIC,80,NA
Luanda,4508000,LMC,20,NA
Korca,51152,UMC,7,NA
Vlora,79513,UMC,7,NA
Rosario,1193605,HIC,30,NA
Vanadzor,86199,UMC,13,124020
Spitak,12881,UMC,4,NA
Perth,20359,HIC,35,NA
Ouagadougou,1328000,LIC,10,NA
Dhaka,5700000,LMC,10,NA
Rajshahi,448087,LMC,8,NA
Banja Luka,180053,UMC,13,NA
Sarajevo,318000,UMC,5,1334648
Minsk,1915000,UMC,18,25100000
Grodno,340000,UMC,21,1954090
Belize City,68266,UMC,43,NA
La Paz,840209,LMC,14,NA
"Distrito Federal, Brasilia",2977216,UMC,15,NA
PhuentsholingÂ ,40000,LMC,7.5,NA
Medellin,2464322,UMC,57,NA
Cali,2224158,UMC,62,NA
Santo Domingo,3976012,UMC,16,NA
Addis Ababa,2979100,LIC,20.92,NA
Suva,86000,UMC,24,NA
Accra,1960000,LMC,12,NA
Banjul,331000,LIC,15,NA
Thessaloniki,354290,HIC,51,NA
Antigua Guatemala,41500,UMC,7,NA
Tegucigalpa,1200000,LMC,4,NA
Port Au Prince,2618894,LIC,5,NA
Jakarta,9607787,LMC,40,NA
Kota,1001694,LMC,6,NA
Kozhikode,431560,LMC,10,NA
Jaipur,3046163,LMC,25,NA
Tirunelveli,479606,LMC,14,NA
Amritsar,1132383,LMC,4.7,NA
Allahabad,1168385,LMC,19,NA
Greater Hyderabad Â ,6731790,LMC,35,NA
Kochi,602046,LMC,20.4,NA
Pune,3124458,LMC,20,11007260
Patna,1684222,LMC,35,NA
Jodhpur,1033756,LMC,15,NA
Nagpur,2405665,LMC,20,NA
Shimla,169578,LMC,10,NA
Rudrapur,154554,LMC,15,NA
Bengaluru,8443675,LMC,26,NA
Pimpri-Chinchwad,1727692,LMC,10,NA
Kanpur,2767031,LMC,13,NA
Rajkot,1432734,LMC,16,14560
Tenali,164937,LMC,7,NA
Lucknow,2817106,LMC,25,NA
Ludhiana,1840000,LMC,10,730000
Bhopal,1798218,LMC,6.5,4721640
Faridabad,1414050,LMC,25,NA
Itanagar,59500,LMC,4,NA
Vishakhapatnam,1728128,LMC,25,NA
Nashik,1486053,LMC,7.8,NA
Delhi,11034555,LMC,19.3,NA
Srinagar,1147613,LMC,5,NA
Imphal,268243,LMC,10,NA
Surat,5500000,LMC,10,NA
Vijaywada,1137793,LMC,15,NA
Chennai,6671309,LMC,15,NA
Indore,1994397,LMC,7,NA
Coimbatore,1050721,LMC,12,NA
Navi Mumbai,1120574,LMC,5,NA
Greater Mumbai,12478447,LMC,5,NA
Guwahati,957352,LMC,12,NA
GwaliorÂ ,1069276,LMC,12.5,NA
Mysore,1058210,LMC,3.5,270830
Warangal,615998,LMC,18.8,1011936
Tehran,8432000,UMC,39,1952665
Amman,2400000,UMC,24,NA
Yokohama,3730345,HIC,9,12713819
Kobe,1547494,HIC,12,6789793
Osaka,2679962,HIC,25,10228509
Atyrau,275896,UMC,5,NA
Kostanay,228000,UMC,3,NA
Bishkek,865000,LMC,10,NA
Phnom Penh,1731000,LMC,7.5,NA
Seoul,10204000,HIC,64,NA
Vientiane,997000,LMC,32,1971450
Beirut,650000,UMC,9,2200
Saida,150000,UMC,3,1000
Monrovia,1056000,LIC,4,NA
Trincomalee,50268,LMC,9,NA
Colombo,318048,LMC,14,NA
Kaunas,292691,HIC,20,NA
Riga,643368,HIC,10,NA
Rabat,650000,LMC,20,NA
Tangier,1100000,LMC,20,4380000
Beni Mellal,192362,LMC,4.5,NA
Chisinau,789534,LMC,20,NA
Antananarivo,2610000,LIC,10,NA
Male,153904,UMC,5,NA
Addu,21275,UMC,7,NA
Fuahmulah,8510,UMC,3,NA
Monterrey,1109171,UMC,21,NA
Mandalay,1000000,LMC,17.5,NA
Yangon,4802000,LMC,17.5,NA
Ulaanbaatar,1377000,LMC,15,NA
Maputo,1100000,LIC,10,NA
Nouakchott,968000,LMC,25,NA
Puerto Cabezas,66169,LMC,13,NA
Kathmandu,1003285,LIC,26,NA
Lalitpur,226728,LIC,43,NA
Badimalika,18207,LIC,0.5,NA
Karachi,14910352,LMC,32.5,NA
Lahore,11126285,LMC,19,41812420
Cusco,111340,UMC,7.5,NA
Cebu,923000,LMC,10,NA
Cluj-Napoca,327000,UMC,8.5,NA
Bucharest,1868000,UMC,17,NA
Moscow,11461000,UMC,34,NA
Nyagatare,465855,LIC,5,NA
Jeddah,4076000,HIC,40,NA
Honiara,78000,LMC,6,NA
San Salvador,1097000,LMC,29,NA
Juba,321000,LIC,13,NA
Dili,234331,LMC,25,NA
Tunis,700000,LMC,15,NA
Sfax,300000,LMC,40,NA
Dar Es Salaam,4364541,LIC,40,NA
Kampala,1936000,LIC,12,NA
Pavlograd,109885,LMC,2,NA
Caracas,3220540,UMC,30,NA
Hanoi,3629000,LMC,33,NA
Port Vila,44039,LMC,23,NA
Upolu (Apia),147184,UMC,16.09,NA
SanaÃ¡,2330689,LIC,17,4471250
